John Doe|85.0,92.0,88.0,92.0,95.0,94.0,91.0,90.0,93.0,92.0|86.0,89.0,89.0,85.0,84.0,91.0,93.0|89.0,86.0,85.0,87.0
Emily Rose|80.0,90.0,84.0,82.0,84.0,89.0,87.0,86.0,87.0,85.0|82.0,89.0,86.0,80.0,85.0,80.0,82.0|92.0,91.0,92.0,80.0
Erica Moss|84.0,81.0,78.0,77.0,75.0,84.0,84.0,82.0,75.0,85.0|75.0,75.0,75.0,84.0,77.0,85.0,78.0|83.0,81.0,76.0,84.0
Michelle Jonas|84.0,83.0,82.0,84.0,74.0,83.0,83.0,78.0,71.0,79.0|76.0,79.0,75.0,73.0,82.0,78.0,81.0|83.0,71.0,78.0,74.0
Kevin Omega|96.0,91.0,81.0,87.0,83.0,88.0,94.0,89.0,96.0,82.0|100.0,81.0,98.0,99.0,91.0,81.0,98.0|96.0,97.0,99.0,100.0
Tiffany Lee|95.0,90.0,100.0,100.0,90.0,94.0,92.0,94.0,100.0,95.0|92.0,94.0,99.0,90.0,94.0,98.0,90.0|93.0,92.0,95.0,96.0
Ricky Chua|78.0,66.0,65.0,75.0,67.0,68.0,67.0,72.0,75.0,79.0|68.0,75.0,67.0,75.0,68.0,70.0,80.0|75.0,71.0,68.0,65.0
Annalise Sy|93.0,94.0,93.0,93.0,97.0,94.0,95.0,94.0,95.0,94.0|95.0,93.0,96.0,95.0,95.0,97.0,97.0|95.0,95.0,94.0,94.0
Andrew Thomas|65.0,61.0,63.0,69.0,67.0,65.0,60.0,70.0,70.0,60.0|68.0,60.0,65.0,70.0,64.0,65.0,60.0|67.0,62.0,66.0,63.0
Bob Davidler|50.0,59.0,51.0,51.0,58.0,59.0,57.0,68.0,59.0,68.0|55.0,50.0,52.0,61.0,55.0,66.0,67.0|60.0,54.0,55.0,60.0
